Company_Name,Founded_Year,City,Sector,Sub_Sector,Total_Funding_Cr,Equity_Funding_Rounds,Latest_Funding_Round,Latest_Round_Amount_Cr,Investors_Count,Founder_Count,Founder_Churn,Board_Advisors,Competitor_Count,Competitor_Rank,Revenue_FY(23-24)_Cr,Revenue_FY(22-23)_Cr,Revenue_FY(21-22)_Cr,Revenue_3Y_CAGR,EBITDA_FY(23-24)_Cr,EBITDA_FY(22-23)_Cr,EBITDA_FY(21-22)_Cr,Employees_2024,Employees_2023,Employees_2022,Label,Years_To_Exit,Valuation_Crores
Ather Energy,2013,Bengaluru,Energy Tech,Electric Vehicles,4166.6,14,Series E,592.62,35,3,1,10,1655,2,1789.1,1801.8,413.8,173,-824,-686.7,-255.7,1558,1429,1306,IPO,12,8134
Digit Insurance,2016,Bengaluru,FinTech,Internet First Insurance Platforms,3876.1,6,Series D,452.35,37,2,0,5,27,1,8442.7,5780.2,3759.5,57,181.7,35.5,-295.9,8816,8015,7286,IPO,8,31457
Zaggle,2011,Hyderabad,FinTech,Payments,113.71,3,Series A,97.94,30,2,0,1,18,1,,554.6,371.7,33,,49.2,60.3,,254,295,IPO,12,1718.1
Usha Financial,2006,Delhi,FinTech,Alternative Lending,103.75,4,Conventional Debt,,62,11,0,4,308,12,,45.6,25.2,-4,,35.6,15.6,39,37,34,IPO,18,139.44
RNFI Services,2015,Delhi,FinTech,Payments,,,,,,4,0,2,433,11,943.1,1067.3,190.8,91,19.2,10,9.2,1385,1110,529,IPO,9,
Veefin,2020,Mumbai,FinTech,Alternative Lending,24.9,1,Series A,24.9,1,3,0,3,171,9,,14.5,6.6,162,,5.6,1.1,,,,IPO,3,
Trust Systems & S/w,1998,Nagpur,FinTech,Banking Tech,0.54,1,Unattributed,0.54,1,1,0,8,402,41,,22.7,18,4,,6,2.3,184,177,300,IPO,26,
KFin Technologies,1978,Hyderabad,FinTech,Investment Tech,349.43,1,Series C,349.43,13,1,0,5,650,3,,,645.6,21,,,293.9,,,10000,IPO,44,
Nuvama,2008,Mumbai,FinTech,Investment Tech,,1,Unattributed,,,2,0,7,2701,10,,2230.4,1619.5,41,,891.1,1284.3,,524,524,IPO,15,
Tracxn,2013,Bengaluru,FinTech,Investment Tech,141.1,6,Series B,24.9,37,2,0,4,689,5,,,65.2,,,,-4.7,,,877,IPO,9,700.52
AGS Transact Technologies,2002,Mumbai,FinTech,Payments,672.3,3,Conventional Debt,626.65,16,1,0,6,856,32,,,1797.3,,,,435.5,,,1710,IPO,20,
Ola Electric,2017,Bengaluru,Energy Tech,Electric Vehicles,8300,10,Conventional Debt,99.6,68,4,2,6,1654,2,5243.3,2782.7,456.3,,-1040.2,-1197.1,-717.5,3774,3909,3366,IPO,7,47725
Maxvolt Energy,2018,Noida,Energy Tech,Electric Vehicles,12.45,1,Angel,12.45,26,3,0,5,357,17,48.6,13.9,6.2,175,6.8,0.8,0.2,39,11,5,IPO,7,87.15
Exicom,1994,Nagpur,Energy Tech,Electric Vehicles,,0,,,0,1,0,0,1309,20,885.4,534.1,373.7,40,133.5,69.5,67,781,779,674,IPO,30,
